Family	ACLAME.Function.s.
family:all:920	phi:0000048 - negative transcriptional regulation of phage gene expression
family:all:920	phi:0000048 - negative transcriptional regulation of phage gene expression; phi:0000002 - phage infectious cycle
family:all:920	phi:0000184 - transcription factor activity
family:all:92	phi:0000088 - phage base plate protein
family:all:9199	unknown
family:all:9198	unknown
family:all:9197	unknown
family:all:9196	unknown
family:all:9195	unknown
family:all:9194	unknown
family:all:9193	unknown
family:all:9192	orf, hypothetical
family:all:9191	unknown
family:all:9190	unknown
family:all:919	phi:0000333 - plasmid function unknown
family:all:9189	unknown
family:all:9188	unknown
family:all:9187	unknown
family:all:9186	unknown
family:all:9185	unknown
family:all:9184	phi:0000143 - tyrosine-based recombinase activity; phi:0000056 - prophage DNA integration
family:all:9183	unknown
family:all:9182	unknown
family:all:9181	unknown
family:all:9180	unknown
family:all:918	Alt RNA polymerase ADP-ribosylase
family:all:9179	ORF98
family:all:9178	unknown
family:all:9177	unknown
family:all:9176	unknown
family:all:9175	unknown
family:all:9174	unknown
family:all:9173	unknown
family:all:9172	unknown
family:all:9171	unknown
family:all:9170	orf1
family:all:917	phi:0000326 - phage function unknown
family:all:9169	unknown
family:all:9168	unknown
family:all:9167	unknown
family:all:9166	unknown
family:all:9165	single-strand binding protein homolog Ssb
family:all:9164	unknown
family:all:9163	unknown
family:all:9162	unknown
family:all:9161	TIR
family:all:9160	unknown
family:all:916	phi:0000326 - phage function unknown
family:all:9159	phycocyanin alpha phycocyanobilin lyase-like
family:all:9158	phi:0000324 - plasmid mobilization
family:all:9157	RTX toxins and related Ca2+-binding protein
family:all:9156	unknown
family:all:9155	unknown
family:all:9154	protein of unknown function DUF1526
family:all:9153	peptide chain release factor 1
family:all:9152	unknown
family:all:9151	unknown
family:all:9150	unknown
family:all:915	go:0030508 - thiol-disulfide exchange intermediate activity
family:all:9149	unknown
family:all:9148	PROBABLE TRANSMEMBRANE PROTEIN
family:all:9147	unknown
family:all:9146	unknown
family:all:9145	unknown
family:all:9144	unknown
family:all:9143	unknown
family:all:9142	unknown
family:all:9141	unknown
family:all:9140	phi:0000333 - plasmid function unknown
family:all:914	phi:0000335 - phage mediated modulation of host functions; phi:0000163 - inhibitor of RecBCD nuclease
family:all:9139	unknown
family:all:9138	unknown
family:all:9137	unknown
family:all:9136	unknown
family:all:9135	unknown
family:all:9134	PepF protein
family:all:9133	PepM protein
family:all:9132	hypothetical PepJ protein
family:all:9131	hypothetical PepG protein
family:all:9130	unknown
family:all:913	phi:0000326 - phage function unknown
family:all:9129	unknown
family:all:9128	unknown
family:all:9127	unknown
family:all:9126	PcfI
family:all:9125	PcfH
family:all:9124	LtrD-related protein, putative
family:all:9123	UvaB
family:all:9122	PcfR
family:all:9121	PrgM
family:all:9120	PcfU
family:all:912	phi:0000049 - positive transcriptional regulation of phage gene expression; phi:0000038 - phage class III gene transcription
family:all:912	phi:0000372 - phage lytic cycle; go:0016563 - transcription activator activity; phi:0000049 - positive transcriptional regulation of phage gene expression
family:all:9119	PcfB
family:all:9118	PcfA
family:all:9117	PrgL
family:all:9116	PrgF
family:all:9115	UvrB
family:all:9114	PcfM
family:all:9113	PrgI
family:all:9112	PrgH
family:all:9111	PcfO
family:all:9110	PcfL
family:all:911	phi:0000178 - phage minor tail protein
family:all:9109	PrgR
family:all:9108	PrgG
family:all:9107	PcfQ
family:all:9106	PcfP
family:all:9105	Hypothetical membrane spanning protein
family:all:9104	Aminopeptidase N
family:all:9103	ABC transporter-associated protein
family:all:9102	unknown
family:all:9101	Hypothetical membrane spanning protein
family:all:9100	Bacteriocin-like prepeptide
family:all:910	phi:0000044 - transcriptional-regulation of phage gene expression
family:all:91	aclame:function:512 - IS91 family; phi:0000160 - rolling circle transposition
family:all:9099	Abp118 bacteriocin alpha peptide
family:all:9098	N-acetylmannosamine-6-phosphate 2-epimerase
family:all:9097	phi:0000192 - thioredoxin
family:all:9096	ABC transporter, permease protein
family:all:9095	unknown
family:all:9094	unknown
family:all:9093	unknown
family:all:9092	unknown
family:all:9091	unknown
family:all:9090	unknown
family:all:909	phi:0000326 - phage function unknown
family:all:9089	go:0008237 - metallopeptidase activity
family:all:9088	Molybdenum cofactor biosynthesis enzyme
family:all:9086	unknown
family:all:9085	PROBABLE TRANSMEMBRANE PROTEIN
family:all:9084	cytochrome C-type biogenesis protein
family:all:9083	histone deacetylase superfamily
family:all:9082	isocitrate dehydrogenase, NADP-dependent
family:all:9081	MOSC domain protein
family:all:9080	putative cytochrome c, class I precursor
family:all:908	phi:0000326 - phage function unknown
family:all:9079	unknown
family:all:9078	phytanoyl-CoA dioxygenase family protein
family:all:9077	transcriptional regulator, LuxR family
family:all:9076	unknown
family:all:9075	PROBABLE TRANSMEMBRANE PROTEIN
family:all:9074	unknown
family:all:9073	CitB domain protein
family:all:9072	ORF2
family:all:9071	unknown
family:all:9070	unknown
family:all:907	go:0016564 - transcription repressor activity
family:all:907	phi:0000057 - maintenance of prophage immunity; go:0016564 - transcription repressor activity
family:all:9069	unknown
family:all:9068	unknown
family:all:9067	bacteriocin immunity protein
family:all:9066	stability/partitioning determinant
family:all:9065	unknown
family:all:9064	unknown
family:all:9063	unknown
family:all:9062	unknown
family:all:9061	unknown
family:all:9060	Curli production assembly/transport component CsgG
family:all:906	phi:0000326 - phage function unknown
family:all:9059	PROBABLE LIPOPROTEIN
family:all:9058	PROBABLE LIPOPROTEIN
family:all:9057	putative lipoprotein
family:all:9056	unknown
family:all:9055	unknown
family:all:9054	cpp3
family:all:9053	hypothetical protein with parallel beta-helix repeat
family:all:9052	unknown
family:all:9051	unknown
family:all:9050	unknown
family:all:905	phi:0000326 - phage function unknown
family:all:9049	unknown
family:all:9048	unknown
family:all:9047	unknown
family:all:9046	unknown
family:all:9045	unknown
family:all:9044	unknown
family:all:9043	unknown
family:all:9042	putative ABC-2 type transporter, permease protein
family:all:9041	unknown
family:all:9040	Cupin 2, conserved barrel domain protein
family:all:904	phi:0000065 - capsid scaffolding protein; phi:0000017 - phage prohead/capsid assembly
family:all:9039	unknown
family:all:9038	unknown
family:all:9037	unknown
family:all:9036	transporter, FNT family
family:all:9035	hypothetical protein (nonfunctional)
family:all:9034	unknown
family:all:9033	unknown
family:all:9032	unknown
family:all:9031	unknown
family:all:9030	site-specific recombinase, resolvase family, truncated
family:all:903	phi:0000326 - phage function unknown
family:all:9029	unknown
family:all:9028	PUTATIVE TRANSMEMBRANE PROTEIN
family:all:9027	levansucrase
family:all:9026	putative Uncharacterized conserved protein
family:all:9025	carbon storage regulator related protein
family:all:9024	hypothetical protein, mmyd
family:all:9023	unknown
family:all:9022	PROBABLE AVRPPHD-RELATED PROTEIN
family:all:9021	unknown
family:all:9020	unknown
family:all:902	phi:0000326 - phage function unknown
family:all:9019	unknown
family:all:9018	unknown
family:all:9017	ORF rho
family:all:9016	PUTATIVE TRANSMEMBRANE PROTEIN
family:all:9015	putative regulatory gene
family:all:9014	unknown
family:all:9013	putative transmembrane protein
family:all:9012	replication protein
family:all:9011	unknown
family:all:9010	Cja
family:all:901	phi:0000187 - capsid structural protein
family:all:9009	Cjl
family:all:9008	unknown
family:all:9007	putative PAS/PAC sensor protein
family:all:9006	putative P-loop ATPase
family:all:9005	unknown
family:all:9004	unknown
family:all:9003	unknown
family:all:9002	unknown
family:all:9001	unknown
family:all:9000	unknown
family:all:900	phi:0000082 - phage major tail protein
family:all:90	phi:0000178 - phage minor tail protein
family:all:90	phi:0000178 - phage minor tail protein; go:0016298 - lipase activity
family:all:9	go:0003700 - transcription factor activity
family:all:9	phi:0000184 - transcription factor activity
family:all:8999	unknown
family:all:8998	putative rolling circle replication protein
family:all:8997	unknown
family:all:8996	unknown
family:all:8995	carbonic anhydrase, putative
family:all:8994	pANL43
family:all:8993	pANL8
family:all:8992	pANL59
family:all:8991	pANL51
family:all:8990	pANL3
family:all:899	phi:0000185 - phage head/capsid minor protein
family:all:8989	pANL2
family:all:8988	pANL58
family:all:8987	pANL25
family:all:8986	pANL33
family:all:8985	unknown
family:all:8984	Glycerate kinase
family:all:8983	Tagatose-1,6-bisphosphate aldolase
family:all:8982	Universal stress protein UspA related nucleotide-binding protein
family:all:8981	IS3 family transposase orfA
family:all:8980	unknown
family:all:898	phi:0000068 - phage portal protein; phi:0000012 - phage head tail joining
family:all:8979	unknown
family:all:8978	pRL2-26
family:all:8977	pRL2-23
family:all:8976	pRL2-19
family:all:8975	DNA or RNA helicase of superfamily II
family:all:8974	unknown
family:all:8973	unknown
family:all:8972	unknown
family:all:8971	unknown
family:all:8970	unknown
family:all:897	phi:0000013 - phage release by lysis
family:all:8969	ORF ypsilon
family:all:8968	ORF phi
family:all:8967	putative sulfite oxidase subunit YedZ
family:all:8966	excinuclease ABC subunit B
family:all:8965	unknown
family:all:8964	TonB-dependent receptor
family:all:8963	putative integral membrane protein
family:all:8962	unknown
family:all:8961	unknown
family:all:8960	unknown
family:all:896	phi:0000326 - phage function unknown
family:all:8959	unknown
family:all:8958	go:0008933 - lytic transglycosylase activity
family:all:8957	unknown
family:all:8956	unknown
family:all:8955	unknown
family:all:8954	unknown
family:all:8953	unknown
family:all:8952	putative Lipoprotein
family:all:8951	unknown
family:all:8950	putative Lipoprotein
family:all:895	phi:0000326 - phage function unknown
family:all:8949	unknown
family:all:8948	unknown
family:all:8947	acetyltransferase, GNAT family protein
family:all:8946	Tat domain protein
family:all:8945	unknown
family:all:8944	unknown
family:all:8943	unknown
family:all:8942	unknown
family:all:8941	transglycosylase, SLT family
family:all:8940	unknown
family:all:894	phi:0000326 - phage function unknown
family:all:8939	unknown
family:all:8938	unknown
family:all:8937	unknown
family:all:8936	unknown
family:all:8935	immunogenic protein P35
family:all:8934	unknown
family:all:8933	unknown
family:all:8932	unknown
family:all:8931	unknown
family:all:8930	unknown
family:all:893	go:0046123 - purine deoxyribonucleoside biosynthetic process; go:0008998 - ribonucleoside-triphosphate reductase activity
family:all:8929	conserved secreted protein
family:all:8928	unknown
family:all:8927	Chromosomal replication initiator, DnaA C-terminal domain
family:all:8926	Paraquat-inducible protein A
family:all:8925	6,7-dimethyl-8-ribityllumazine synthase
family:all:8924	unknown
family:all:8923	unknown
family:all:8922	unknown
family:all:8921	BioY protein
family:all:8920	transcriptional activator, TenA family
family:all:892	phi:0000174 - capsid tail
family:all:8919	Rhodanese-like
family:all:8918	unknown
family:all:8917	NADH:ubiquinone oxidoreductase, Na(+)-translocating, A subunit
family:all:8916	ATPase
family:all:8915	4-hydroxybenzoate polyprenyl transferase
family:all:8914	unknown
family:all:8913	unknown
family:all:8912	peptidyl-prolyl cis-trans isomerase, FKBP-type
family:all:8911	unknown
family:all:8910	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
family:all:891	go:0006270 - DNA replication initiation
family:all:8909	unknown
family:all:8908	unknown
family:all:8907	unknown
family:all:8906	translation initiation factor IF-1
family:all:8905	maf protein
family:all:8904	ribonuclease, Rne/Rng family
family:all:8903	protein of unknown function DUF329
family:all:8902	methyltransferase small
family:all:8901	unknown
family:all:8900	unknown
family:all:890	phi:0000333 - plasmid function unknown
family:all:89	go:0034290 - holin activity; phi:0000013 - phage release by lysis
family:all:8899	unknown
family:all:8898	sugar isomerase (SIS)
family:all:8897	unknown
